,loss,accuracy,val_loss,val_accuracy
0,0.4259793758392334,0.8090553283691406,0.38172265887260437,0.8253173828125
1,0.3291778862476349,0.8600807189941406,0.35797882080078125,0.83648681640625
2,0.2972637116909027,0.8772048950195312,0.3294435143470764,0.856689453125
3,0.2788412868976593,0.8864860534667969,0.3500688076019287,0.84490966796875
4,0.26449236273765564,0.893402099609375,0.3239765465259552,0.854278564453125
5,0.25510117411613464,0.8974571228027344,0.31933438777923584,0.8594970703125
6,0.24771703779697418,0.9018630981445312,0.33227720856666565,0.855255126953125
7,0.24068045616149902,0.9039764404296875,0.31899315118789673,0.860198974609375
8,0.23495934903621674,0.907257080078125,0.29756399989128113,0.869873046875
9,0.23172828555107117,0.9088363647460938,0.341293066740036,0.854705810546875
10,0.23021459579467773,0.9097938537597656,0.30724266171455383,0.868194580078125
11,0.22761684656143188,0.9114990234375,0.30370983481407166,0.87066650390625
12,0.22370965778827667,0.9125442504882812,0.33291906118392944,0.86248779296875
13,0.22071833908557892,0.91400146484375,0.3159455955028534,0.866973876953125
