,loss,accuracy,val_loss,val_accuracy
0,0.37485018372535706,0.8360214233398438,0.4211134910583496,0.800567626953125
1,0.3121112883090973,0.8673820495605469,0.41591644287109375,0.81610107421875
2,0.2770121097564697,0.8838996887207031,0.4406033754348755,0.8026123046875
3,0.24860358238220215,0.8974609375,0.4705785810947418,0.785980224609375
4,0.22381889820098877,0.9086952209472656,0.570921778678894,0.794219970703125
5,0.20325061678886414,0.91717529296875,0.5253815054893494,0.7967529296875
6,0.18587906658649445,0.9254798889160156,0.6604304313659668,0.798553466796875
7,0.17152687907218933,0.9313850402832031,0.674376904964447,0.79180908203125
8,0.15830647945404053,0.9376029968261719,0.7397217154502869,0.78875732421875
9,0.1477452665567398,0.9426956176757812,0.7433716654777527,0.80230712890625
