,0,1
0,0.42151567,0.5784843
1,0.093157,0.906843
2,0.6050648,0.39493516
3,0.9993887,0.00061130594
4,0.2832511,0.7167489
5,0.21759996,0.7824001
6,0.10246543,0.8975346
7,0.99438703,0.005613027
8,0.21979953,0.7802005
9,0.2205022,0.7794978
10,0.2862581,0.71374184
11,0.4299923,0.57000774
12,0.10750304,0.89249694
13,0.20632279,0.7936772
14,0.32271495,0.677285
15,0.040104885,0.95989513
16,0.17522524,0.8247748
17,0.2802327,0.71976733
18,0.036163896,0.96383613
19,0.14546376,0.85453624
20,0.2187672,0.7812328
21,0.049222514,0.9507775
22,0.74164563,0.25835437
23,0.022596942,0.9774031
24,0.25175074,0.74824923
25,0.9974446,0.0025553785
26,0.06559303,0.934407
27,0.94850653,0.051493477
28,0.1533275,0.84667253
29,0.93577653,0.064223394
30,0.20404683,0.7959532
31,0.73114794,0.2688521
32,0.2171442,0.78285575
33,0.16858293,0.83141714
34,0.63546646,0.3645335
35,0.94529825,0.054701764
36,0.9744803,0.0255197
37,0.9992834,0.00071660173
38,0.028748164,0.97125185
39,0.007242552,0.99275744
40,0.561503,0.438497
41,0.68965155,0.31034845
42,0.41748112,0.5825189
43,0.17854714,0.8214529
44,0.16294503,0.8370549
45,0.3532887,0.64671123
46,0.08569388,0.91430616
47,0.16966966,0.8303303
48,0.3643991,0.6356009
49,0.49733737,0.50266266
50,0.1424268,0.8575732
51,0.19313101,0.80686903
52,0.27117825,0.7288217
53,0.21409477,0.78590524
54,0.20202363,0.7979764
55,0.26059747,0.73940253
56,0.22269468,0.77730536
57,0.08707872,0.91292125
58,0.07744535,0.9225547
59,0.29898658,0.7010134
60,0.22226933,0.7777307
61,0.43067902,0.569321
62,0.6333053,0.36669466
63,0.077367485,0.9226325
64,0.9944319,0.0055681025
65,0.29655865,0.7034413
66,0.01802979,0.9819702
67,0.117483824,0.8825162
68,0.8852143,0.114785634
69,0.8995322,0.100467846
70,0.157309,0.842691
71,0.03805115,0.9619489
72,0.7146831,0.28531688
73,0.45558065,0.54441935
74,0.14704561,0.85295445
75,0.19491762,0.8050824
76,0.39287472,0.60712534
77,0.99089545,0.009104552
78,0.22780761,0.7721924
79,0.8115168,0.18848316
80,0.7773414,0.22265854
81,0.21350081,0.78649914
82,0.24484918,0.7551508
83,0.038149785,0.96185017
84,0.049270213,0.9507297
85,0.049193975,0.950806
86,0.7239501,0.27604988
87,0.70993227,0.2900677
