,0,1
0,0.8965078,0.10349223
1,0.17266206,0.827338
2,0.8882026,0.111797445
3,0.98643947,0.013560542
4,0.62295973,0.37704027
5,0.48948917,0.51051086
6,0.08464441,0.9153556
7,0.97616893,0.023831118
8,0.19318527,0.8068148
9,0.5467961,0.45320392
10,0.8636688,0.13633117
11,0.97775954,0.022240466
12,0.5394623,0.46053767
13,0.92028445,0.07971556
14,0.721125,0.27887496
15,0.16545436,0.8345457
16,0.61499715,0.3850028
17,0.46172997,0.53827006
18,0.086281136,0.9137189
19,0.5379954,0.46200457
20,0.7764325,0.22356746
21,0.033475213,0.9665248
22,0.9463277,0.05367233
23,0.03353874,0.96646124
24,0.1262532,0.8737468
25,0.9929085,0.0070915483
26,0.04274238,0.95725757
27,0.88948834,0.1105117
28,0.31534627,0.6846537
29,0.96130985,0.03869011
30,0.91386986,0.0861301
31,0.95315117,0.046848834
32,0.69944763,0.30055243
33,0.7656904,0.23430966
34,0.75315565,0.24684435
35,0.98509294,0.0149071
36,0.934799,0.06520095
37,0.9910492,0.00895083
38,0.024030399,0.9759696
39,0.008805093,0.99119484
40,0.86678076,0.13321927
41,0.984184,0.015815957
42,0.7369454,0.26305458
43,0.6106735,0.38932648
44,0.33627063,0.6637293
45,0.9564244,0.043575656
46,0.018835435,0.9811646
47,0.049736816,0.9502632
48,0.9179004,0.08209966
49,0.7977741,0.2022259
50,0.7031308,0.29686925
51,0.52474517,0.47525483
52,0.9273303,0.07266964
53,0.73962224,0.2603778
54,0.481741,0.518259
55,0.16349839,0.8365016
56,0.8801807,0.11981924
57,0.088759385,0.91124064
58,0.64353645,0.35646358
59,0.78372246,0.21627755
60,0.39708403,0.602916
61,0.814758,0.18524201
62,0.9658341,0.034165934
63,0.083582684,0.9164173
64,0.9298817,0.07011825
65,0.74604684,0.2539532
66,0.045560587,0.9544394
67,0.72601366,0.2739863
68,0.9455589,0.054441053
69,0.9239124,0.076087624
70,0.47063458,0.5293654
71,0.0040053846,0.99599457
72,0.91002,0.08997995
73,0.96868736,0.03131261
74,0.7500869,0.24991308
75,0.2767089,0.72329104
76,0.8891083,0.11089169
77,0.97578037,0.024219615
78,0.42270005,0.57729995
79,0.9766099,0.023390109
80,0.9971035,0.002896486
81,0.62763005,0.37237
82,0.27070287,0.7292971
83,0.0061021615,0.99389786
84,0.02973155,0.9702684
85,0.034323968,0.96567607
86,0.9480663,0.051933732
87,0.9292611,0.07073893
88,0.081808105,0.91819185
89,0.9345166,0.06548334
90,0.9174718,0.08252816
91,0.97340393,0.026596116
92,0.7064438,0.29355624
93,0.19931497,0.80068505
94,0.75927114,0.24072884
95,0.92752236,0.07247763
96,0.95677,0.043230034
97,0.006243767,0.9937562
98,0.0018197646,0.99818027
99,0.050851807,0.94914824
100,0.8328975,0.16710252
101,0.93780506,0.062194925
102,0.9500461,0.049953908
103,0.976388,0.023611989
104,0.9561988,0.04380123
105,0.35527718,0.6447228
106,0.362566,0.63743395
107,0.9758671,0.024132898
108,0.1903368,0.80966324
109,0.007894139,0.99210584
110,0.020064356,0.97993565
111,0.051366296,0.9486337
112,0.8774729,0.12252712
113,0.68211716,0.3178828
114,0.9884222,0.011577744
115,0.29175216,0.70824784
116,0.8520398,0.14796023
117,0.027990768,0.97200924
118,0.9937973,0.0062027797
119,0.9684686,0.031531326
120,0.013130859,0.98686916
121,0.782435,0.21756501
122,0.86580473,0.13419527
123,0.009485893,0.99051416
124,0.96800554,0.031994473
125,0.98427296,0.015727032
126,0.118304186,0.8816958
127,0.6512906,0.3487094
128,0.006619762,0.9933802
129,0.78372246,0.21627755
130,0.7958916,0.20410839
131,0.7106492,0.28935084
132,0.13211715,0.8678829
133,0.95464325,0.04535672
134,0.9382689,0.06173114
135,0.9921113,0.007888681
136,0.14825764,0.8517424
137,0.088474855,0.91152513
138,0.008055679,0.9919443
139,0.20732664,0.7926733
140,0.06859833,0.9314017
141,0.32427618,0.67572385
142,0.1248271,0.875173
143,0.20766942,0.79233056
144,0.96553224,0.034467764
145,0.10132532,0.8986747
146,0.081081584,0.91891843
147,0.17913595,0.820864
148,0.57047695,0.42952302
149,0.91608864,0.08391141
150,0.03353874,0.96646124
151,0.95104223,0.048957758
152,0.9645323,0.035467733
153,0.023043357,0.97695667
154,0.85213053,0.14786953
155,0.33925122,0.66074884
156,0.531807,0.46819293
157,0.98943824,0.01056179
158,0.23130552,0.76869446
159,0.5183818,0.48161823
160,0.15778087,0.8422192
161,0.8730096,0.12699042
162,0.25352994,0.74647003
163,0.7941509,0.2058491
164,0.25098804,0.74901193
165,0.38260916,0.6173909
166,0.6543003,0.3456997
167,0.04349656,0.95650345
168,0.072571814,0.9274281
169,0.121960275,0.8780397
170,0.70228755,0.29771245
171,0.8789681,0.121031895
172,0.8268013,0.17319869
173,0.06963288,0.9303672
174,0.04793071,0.9520693
175,0.013502557,0.98649746
176,0.9810527,0.018947292
177,0.14182268,0.85817736
178,0.96030414,0.039695874
179,0.7756634,0.22433658
180,0.6585906,0.34140936
181,0.2799081,0.7200919
182,0.81754225,0.18245779
183,0.94247544,0.057524614
184,0.89235145,0.10764855
185,0.96164453,0.038355473
186,0.9536138,0.04638618
187,0.8776858,0.12231428
188,0.9250592,0.074940816
189,0.9725983,0.02740167
190,0.98097277,0.019027278
191,0.23582725,0.7641727
192,0.96634513,0.03365487
193,0.035458643,0.9645413
194,0.98754114,0.012458879
195,0.9769349,0.023065086
196,0.86391485,0.1360851
197,0.8411106,0.15888943
198,0.87374455,0.12625553
199,0.99711275,0.0028872876
200,0.9479989,0.052001167
201,0.9394627,0.06053728
202,0.0016559536,0.99834406
203,0.09531959,0.9046805
204,0.97402364,0.025976377
205,0.92787534,0.072124645
206,0.99666816,0.0033318265
207,0.105704725,0.8942953
208,0.08991836,0.9100816
209,0.031646367,0.96835357
210,0.5502214,0.44977865
211,0.9795976,0.020402353
212,0.96992975,0.03007024
213,0.8668706,0.13312936
214,0.36352727,0.6364727
215,0.91487086,0.08512918
216,0.0034157173,0.9965843
217,0.30455574,0.6954443
218,0.04838066,0.9516193
219,0.25069678,0.74930316
220,0.9859228,0.0140772015
221,0.8275286,0.17247136
222,0.8709977,0.12900223
223,0.99082935,0.009170702
224,0.1362792,0.86372083
225,0.9986883,0.0013117635
226,0.078653716,0.92134625
227,0.0038696448,0.99613035
228,0.0028061876,0.9971938
229,0.35161996,0.6483801
230,0.95898706,0.04101292
231,0.94567955,0.054320462
232,0.7240288,0.27597117
233,0.045125224,0.95487475
234,0.9646573,0.03534263
235,0.56533176,0.43466824
236,0.19950515,0.80049485
